universe_id,property,score,transition_depth
114,persistence,1.0,2.0
114,composition,0.04,1.0
114,closure,0.8846153846153846,3.0
114,arithmetic,0.25,1.0
114,geometry,1.0,3.0
114,dimension,0.0,0.0
115,distinction,0.5,2.0
115,persistence,1.0,1.0
115,composition,0.04,1.0
115,closure,0.9230769230769231,2.0
115,arithmetic,0.0,0.0
115,geometry,1.0,2.0
115,dimension,0.0,0.0
116,distinction,0.5,2.0
116,persistence,1.0,1.0
116,composition,0.0,26.0
116,closure,0.9230769230769231,2.0
116,arithmetic,0.25,1.0
116,geometry,1.0,2.0
116,dimension,0.0,0.0
117,distinction,0.2,5.0
117,persistence,1.0,4.0
117,composition,0.12,1.0
117,closure,0.8076923076923077,5.0
117,arithmetic,0.25,2.0
117,geometry,1.0,5.0
117,dimension,0.0,0.0
118,distinction,1.0,1.0
118,persistence,1.0,0.0
118,composition,0.0,26.0
118,closure,0.9615384615384616,1.0
118,arithmetic,0.0,0.0
118,geometry,0.0,26.0
118,dimension,0.0,0.0
119,distinction,1.0,1.0
119,persistence,1.0,0.0
119,composition,0.0,26.0
119,closure,0.9615384615384616,1.0
119,arithmetic,0.0,0.0
119,geometry,0.0,26.0
119,dimension,0.0,0.0
120,distinction,1.0,1.0
120,persistence,1.0,0.0
120,composition,0.0,26.0
120,closure,0.9615384615384616,1.0
120,arithmetic,0.0,0.0
120,geometry,0.0,26.0
120,dimension,0.0,0.0
121,distinction,0.5,2.0
121,persistence,1.0,1.0
121,composition,0.04,1.0
121,closure,0.9230769230769231,2.0
121,arithmetic,0.0,0.0
121,geometry,1.0,2.0
121,dimension,0.0,0.0
122,distinction,0.3333333333333333,3.0
122,persistence,1.0,2.0
122,composition,0.08,1.0
122,closure,0.8846153846153846,3.0
122,arithmetic,0.25,1.0
122,geometry,1.0,3.0
122,dimension,0.0,0.0
123,distinction,0.2,5.0
123,persistence,1.0,4.0
123,composition,0.08,1.0
123,closure,0.8076923076923077,5.0
123,arithmetic,0.5,1.0
123,geometry,1.0,5.0
123,dimension,0.0,0.0
124,distinction,0.3333333333333333,3.0
124,persistence,1.0,2.0
124,composition,0.08,1.0
124,closure,0.8846153846153846,3.0
124,arithmetic,0.25,1.0
124,geometry,1.0,3.0
124,dimension,0.0,0.0
125,distinction,0.5,2.0
125,persistence,1.0,1.0
125,composition,0.04,1.0
125,closure,0.9230769230769231,2.0
125,arithmetic,0.0,0.0
125,geometry,0.9999999999985575,2.0
125,dimension,0.0,0.0
126,distinction,1.0,1.0
126,persistence,1.0,0.0
126,composition,0.0,26.0
126,closure,0.9615384615384616,1.0
126,arithmetic,0.0,0.0
126,geometry,0.0,26.0
126,dimension,0.0,0.0
127,distinction,1.0,1.0
127,persistence,1.0,0.0
127,composition,0.0,26.0
127,closure,0.9615384615384616,1.0
127,arithmetic,0.0,0.0
127,geometry,0.0,26.0
127,dimension,0.0,0.0
128,distinction,0.3333333333333333,3.0
128,persistence,1.0,2.0
128,composition,0.08,1.0
128,closure,0.8846153846153846,3.0
128,arithmetic,0.0,0.0
128,geometry,1.0,3.0
128,dimension,0.0,0.0
129,distinction,0.5,2.0
129,persistence,1.0,1.0
129,composition,0.0,26.0
129,closure,0.9230769230769231,2.0
129,arithmetic,0.0,0.0
129,geometry,1.0,2.0
129,dimension,0.0,0.0
130,distinction,0.5,2.0
130,persistence,1.0,1.0
130,composition,0.0,26.0
130,closure,0.9230769230769231,2.0
130,arithmetic,0.0,0.0
130,geometry,0.9999999999985575,2.0
130,dimension,0.0,0.0
131,distinction,0.25,4.0
131,persistence,1.0,3.0
131,composition,0.08,1.0
131,closure,0.8461538461538461,4.0
131,arithmetic,0.25,2.0
131,geometry,1.0,4.0
131,dimension,0.0,0.0
132,distinction,1.0,1.0
132,persistence,1.0,0.0
132,composition,0.0,26.0
