K,dwell_time,c_var_during,c_var_pre,c_var_post,trans_stabilization,trans_locking,r_pre,r_during,r_post,in_transition,mean_c
0.8124318646076901,0.485,0.06210924490762166,0.05747714173658005,0.08034320562820206,1,0,0.49457933778165664,0.4554617483663733,0.615065264873116,1,0.330590313057445
0.9635640351034404,0.0,0.014617498955664207,0.020838001322735326,0.007675408943230542,1,0,0.8839553199137041,0.8663926442129124,0.8351224569751157,0,0.7196264173607185
0.4651576750765686,0.565,0.03105715669745176,0.038660824946205236,0.04054626241951282,1,0,0.31098485893199457,0.6641774981629761,0.2176492977124129,1,0.2369017178758109
0.8652285724626319,0.0,0.03293866485461371,0.04372287119074087,0.013806504265555854,1,0,0.9487786398211587,0.9633126782155421,0.9614329109113255,0,0.858553669282389
0.17480438326184766,0.555,0.05164368550008755,0.060032835056717346,0.012685860242052215,1,0,0.6274139886303235,0.5020772686687619,0.40304841024655075,1,0.2169655308095995
0.08094777950149268,0.64,0.04677236376872404,0.04163214056165428,0.007025067522985092,0,0,0.31005993236788315,0.6415873754454091,0.5347954530650864,1,0.3175892931173932
0.5830570045366149,0.465,0.020084954477103574,0.012821505886332468,0.027505942486795023,1,0,0.824325701090626,0.7069761689897969,0.5945285296175099,0,0.5110635912697022
0.39276443640230585,0.69,0.05305663221432128,0.06421126612616544,0.05572017248189984,1,0,0.362203386544666,0.4089101613062355,0.43384945692923327,1,0.2478795467140585
0.8163766438994942,0.295,0.04699605330960005,0.1005938211071245,0.058278507735197826,1,0,0.49878074691127416,0.6275486538456451,0.3920284930868531,1,0.2821218478462584
0.5041097495128073,0.345,0.07648646627665984,0.04123722735740183,0.05926283706880976,0,0,0.4911408458650045,0.7381003774766185,0.7472971305176769,0,0.5852932536924281
0.14274206675969725,0.475,0.08360783339518982,0.035226920743665235,0.05741057030020432,0,0,0.2714550188439487,0.650713324661667,0.3508819690091323,1,0.17789138728660117
0.590618261944885,0.24,0.08912404316326018,0.06373708186201175,0.0950079473929354,1,0,0.5789859902663619,0.6341787500201204,0.3736937085117479,1,0.21579915278233772
0.6911744535390794,0.0,0.03305111090586851,0.015138156642225066,0.003578826923115897,0,0,0.7653365553456017,0.8596710795254231,0.8101787198178994,0,0.6619689132554181
0.7353454667711758,0.0,0.011802303356345011,0.03610916246098145,0.003966093178196604,1,0,0.9271179657922177,0.908905045387641,0.8862292539655844,0,0.7982083862581507
0.3226847450767725,0.74,0.05047645288276014,0.028843788454092464,0.017947277429788754,0,0,0.6935681960384139,0.4060619305856143,0.4333917037805629,1,0.24037445236341465
0.5185235615281167,0.255,0.06889147518052888,0.02678133809175454,0.043623389268765085,0,0,0.8084795459536734,0.8270903585643877,0.8017495210559091,0,0.7001830397037402
