sim,transition_type,pre_shared_c,trans_shared_c,post_shared_c,pre_overlap,post_overlap,pre_c_range,post_c_range,fragmentation_change,shared_survives,reorganization,pre_order,post_order
89,fragmentation,0.569972109724062,0.5392748887814914,0.1649122196545477,0.8184679760771443,0.9080927787908899,0.38585354249140846,0.12132609611713936,-0.2645274463742691,0,1.0,0.7008000036465702,0.23180305592468384
90,fragmentation,0.6364324996770564,0.6499300106478657,0.22469657284098749,0.9663196447980422,0.9544156769707809,0.07270135975582248,0.11975308579591828,0.047051726040095804,0,1.0,0.8421807956792721,0.4034085392428554
91,bifurcation,0.3463637696523516,0.43888931431699946,0.4874909962821814,0.8865000266743924,0.8857944159816876,0.22475501437595136,0.28167000515123203,0.05691499077528067,1,0.8,0.5779409379989741,0.4595267524474905
92,coupling_weaken,0.6974538456016455,0.7105757436384078,0.403151990905406,0.8508830603500274,0.7598714031953254,0.34613099198465674,0.48941217652576885,0.1432811845411121,1,0.4,0.8880109566397089,0.4856622874814204
93,topology_change,0.6870371483658095,0.6837561280058893,0.5786638013468057,0.9681902148440105,0.9636792022567716,0.06103273441564194,0.07116682298646271,0.010134088570820765,1,0.8,0.8019943325852288,0.5407011176063143
94,topology_change,0.6656312650344391,0.6677604176970995,0.5682030314170835,0.9264035406324531,0.9132541987260919,0.17092708114213928,0.21528883899624673,0.04436175785410745,1,0.0,0.856584816069352,0.6483209534188228
95,bifurcation,0.5185140303469191,0.5485674789901459,0.4373594041721294,0.9364936028744635,0.9196910712287717,0.10821673828794504,0.13273040467622654,0.024513666388281508,1,0.0,0.8831387165143313,0.4211878868173505
96,topology_change,0.5721222915137997,0.6232363739882767,0.610908633634611,0.9102716076713189,0.908046656848857,0.18071619033777458,0.2391134100187423,0.05839721968096773,1,0.6,0.9504531081104892,0.7424005121544042
97,closure_reorg,0.6009339754333441,0.5957163295463906,0.3787802579811222,0.9874821943136441,0.88384107029898,0.031449260064521756,0.2647669113833686,0.23331765131884685,1,0.4,0.7391128296624727,0.24856778887859293
98,topology_change,0.6788933557944401,0.6777723213387081,0.8110806046803154,0.9543361079476587,0.9624582077364042,0.1024510277248808,0.069796286882295,-0.032654740842585794,1,0.4,0.8200982481917818,0.925620361706716
99,coupling_strengthen,0.22192217598143232,0.19400245002887095,0.5926205186830893,0.945820434887107,0.9854603195530437,0.11911447575294326,0.026360913449549495,-0.09275356230339377,1,1.0,0.22061599405074328,0.9460672073628281
100,coupling_strengthen,0.3205906341105125,0.38416706829815767,0.7913132273501217,0.9550459245043238,0.9842339991260426,0.08373557488021355,0.03429397028156034,-0.04944160459865321,1,1.0,0.7414746690560677,0.939102644294699
101,coupling_strengthen,0.20879274744819876,0.2106248115389926,0.6661298075432941,0.9011040781113654,0.962551891356511,0.1555015721589158,0.08455400126147472,-0.07094757089744108,1,0.8,0.370100846099434,0.8463131046230719
102,coupling_strengthen,0.3964614701034358,0.3671103954414814,0.6828830313832759,0.9083717623424721,0.9591339937479794,0.16938283592377784,0.08657384643018395,-0.08280898949359389,1,0.8,0.5379301237955274,0.9389204655449873
103,bifurcation,0.4755239632590151,0.4130326143213792,0.5316744974106923,0.9405883736134687,0.9539826582648334,0.13418128328391588,0.10661703269124612,-0.02756425059266976,1,0.0,0.3952827296342924,0.7229401554967452
104,coupling_strengthen,0.20083190437182508,0.19755061026739806,0.7415314361455372,0.957727322019479,0.9731257677337994,0.10608289844059637,0.05523078604832776,-0.05085211239226861,1,1.0,0.34666892813940314,0.9167186071162344
105,fragmentation,0.20479763602849058,0.22940253299957714,0.3437876053370944,0.8930874764538556,0.9485864575111327,0.22098564629927409,0.12668771416034014,-0.09429793213893395,1,1.0,0.48965318898950466,0.6941395272932945
106,closure_reorg,0.5844028262276957,0.6325907546814795,0.7617098397648958,0.8797186074805423,0.8799936585257065,0.2170842373454131,0.22807611028769326,0.010991872942280156,1,0.4,0.8760433418996382,0.8732660562783888
107,fragmentation,0.3048621470132359,0.2739429265493738,0.2762281988948409,0.8651818500245593,0.8638488916717659,0.22576448313414876,0.20194319543432054,-0.02382128769982822,0,0.4,0.2826140701709447,0.22980599558147435
108,closure_reorg,0.4277381019839077,0.39926100224222444,0.5970399463389556,0.8290334090297994,0.8380021452986788,0.33587410168713216,0.24373894842570432,-0.09213515326142785,1,0.4,0.48596130004584936,0.9408715772311269
109,bifurcation,0.45767456121931466,0.5306439548608467,0.5364809804837414,0.8096613922013101,0.8892650265871663,0.27548471209766284,0.2424737815594969,-0.03301093053816595,1,0.8,0.8458354384807544,0.5553583378436894
110,closure_reorg,0.48748289268837364,0.5058726028535735,0.2810736290718748,0.9463466272965602,0.8089787280034217,0.09567400242036778,0.33297002404479464,0.23729602162442687,0,0.6,0.8120137001684603,0.4307155261082236
111,coupling_weaken,0.6437040985608898,0.6728144569033183,0.5335072825632744,0.9748366980338796,0.9202598140833504,0.05128578901376446,0.20407357898360534,0.15278778996984088,1,0.4,0.9223394028324233,0.5816503750778477
112,coupling_weaken,0.8965997630013207,0.9049083838086156,0.23077024139601016,0.9830301364879881,0.8572744697105278,0.035394772503986704,0.33958043264797966,0.30418566014399295,0,1.0,0.9631381930654628,0.49294796977786826
113,topology_change,0.5318078663138562,0.5594340255448161,0.7396062012138975,0.8736962660932857,0.9599951563631063,0.25086754687969504,0.08084546966037098,-0.17002207721932405,1,0.8,0.9254901735722733,0.9404537739094071
114,topology_change,0.26846139964045146,0.34356490968568193,0.14024153948363244,0.8537846840025372,0.8723511249533051,0.32414711954989506,0.23710596838393364,-0.08704115116596142,0,0.6,0.6482433940801442,0.2816752712088567
115,bifurcation,0.4220466340742717,0.5283441794900849,0.42863114484096193,0.9217014457226697,0.8838820213045638,0.10586114200768182,0.2380626698549199,0.13220152784723807,1,1.0,0.8999110712026027,0.3635658482672829
116,coupling_weaken,0.8210683811020689,0.8283424150351796,0.24543790129983373,0.9203717723283507,0.8906809107471421,0.17568187083069509,0.18117125364879128,0.005489382818096189,0,1.0,0.9213470294159596,0.11520145553104635
117,fragmentation,0.5812827384087806,0.598735688763565,0.25229232944980634,0.9638391872279919,0.9669102436836189,0.09028148705295103,0.032219562750753855,-0.05806192430219717,0,0.8,0.830276259682394,0.10396046864200778
118,coupling_weaken,0.5340842009470598,0.48604389775378687,0.3381023764150496,0.965425680341077,0.9724636587734734,0.06911814085686735,0.05417340855043251,-0.014944732306434838,1,1.0,0.2753701460992761,0.29639486940642373
119,bifurcation,0.5664351179156044,0.5466696794055813,0.43423815576614666,0.9673066648653359,0.9475019188979606,0.08167597274261362,0.07482401182888837,-0.006851960913725252,1,0.8,0.7468525346508729,0.7805857253883838
120,topology_change,0.420556608062761,0.40277655322165934,0.4123013630108321,0.9231924283133016,0.8502080377233071,0.184389567560994,0.35439692259300193,0.17000735503200792,1,0.4,0.6516607106803964,0.6573038912868786
121,closure_reorg,0.5632730387160658,0.5983934073108066,0.22957439178792435,0.9399512539191859,0.8406104136690562,0.13459786634546733,0.30068994677447103,0.1660920804290037,0,0.6,0.8629734666967158,0.28736573360327333
122,coupling_weaken,0.3707612829340595,0.39266046833213714,0.30552956606862197,0.986060561446273,0.9806898965188362,0.029839365724979305,0.03702133863021334,0.007181972905234035,1,0.8,0.8494309491726167,0.20067602551237676
123,coupling_strengthen,0.34827583220831076,0.3985521300047402,0.6908953606737329,0.8741685729283387,0.9538066258798854,0.23657065834976213,0.07966366599563379,-0.15690699235412833,1,1.0,0.8199534757295568,0.9138119904775714
124,coupling_strengthen,0.15188837124669144,0.11113489490196599,0.8065886713811431,0.9617222232061885,0.9762720087989417,0.08070990703307251,0.04784865068015709,-0.032861256352915424,1,1.0,0.14569838370953106,0.9339285290996676
